INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_051350.wav,3.249,2024-06-16,05:13:50,5,2024-06-15,17:13:50,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,7kSnQc0fOD4llW8Y9e4dpw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_051457.wav,3.256,2024-06-16,05:14:57,5,2024-06-15,17:14:57,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,BCJNeUVGvRKmlED7uP0Ccg==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_051421.wav,5.022,2024-06-16,05:14:21,5,2024-06-15,17:14:21,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,dXLAeX6hbk7QZ3QZX1vxiw==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_051535.wav,3.269,2024-06-16,05:15:35,5,2024-06-15,17:15:35,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,INqsG35HCeNrt8im9mdkXg==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_051555.wav,3.1,2024-06-16,05:15:55,5,2024-06-15,17:15:55,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,RU6RpxDTaIFJxd3FEPv6BA==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_051617.wav,3.241,2024-06-16,05:16:17,5,2024-06-15,17:16:17,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,bTLIiNPjty4d/Nh/gYCRZA==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_051708.wav,3.185,2024-06-16,05:17:08,5,2024-06-15,17:17:08,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,a7NWOcfZ9DsMDamuKmCpDA==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_051645.wav,3.242,2024-06-16,05:16:45,5,2024-06-15,17:16:45,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,SX5hKrmzGtHTr9WqE9/E1w==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_051734.wav,3.182,2024-06-16,05:17:34,5,2024-06-15,17:17:34,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,Wlzwe6xWvLKXUWGYA9h65A==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_051806.wav,3.179,2024-06-16,05:18:06,5,2024-06-15,17:18:06,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,p+3ixqg/ZmcRpw4vj87/5g==
D:\Dati Castelporziano\13-17 Giugno\Data Punto 1,,SMU04329_20240616_051846.wav,3.179,2024-06-16,05:18:46,5,2024-06-15,17:18:46,17,41.77489,12.40869,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,taaWJNm2lAXyFbT6zkJv3A==
